ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members
Sg_A11_39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Hanamia	s__	72.65069201424083	84.79	2.79	0	2491485	4182	1
Sg_A11_42	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__JAAYFB01	s__	97.83928871062088	98.36	0.55	0	3678583	28746	1
Sg_A11_43	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Chiayiivirga	s__	62.91534646962546	76.19	3.15	23.08	2516719	3138	1
Sg_A11_47	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus	102.0484754894835	99.33	0	0	2940947	273496	2
Sg_A11_51	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__JAAYLC01	s__	91.10036745824608	93.66	1.01	0	2626883	95661	1
Sg_A11_52	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas_D	s__	83.45280950112725	95.35	3.2	60	2906969	23207	1
Sg_A11_54	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pseudaminobacter	s__	88.20362380181044	98.91	2.65	11.76	3742107	29105	1
Sg_A11_57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Melaminivora_A	s__Melaminivora_A sp003008575	66.36856908013536	77.25	2.63	16.67	2854721	4574	1
Sg_A11_68	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas_D	s__	69.53914158136881	75.65	1.73	38.46	2247028	5592	1
Sg_A11_71	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__F2B08	s__	24.354200179351505	53.34	6.12	0	2641167	1692	1
Sg_A11_8	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus alkenifer	35.40119347937827	51.7	3.77	22.22	1635716	2673	1
Sg_A12_2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus_A	s__Butyricicoccus_A intestinisimiae	98.50797570266458	99.33	0.67	0	2412647	113750	1
Sg_A12_26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Intestinibacter	s__	60.543641153981646	74.62	3.17	0	2200120	3526	1
Sg_A12_4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Haemophilus_D	s__Haemophilus_D sp900764435	82.26445393627448	88.48	1.75	37.5	1669511	5707	1
Sg_A12_53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ventrimonas	s__Ventrimonas sp900555625	80.08157281855331	81.83	0.84	50	2542733	11565	1
Sg_A12_6	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus agilis	99.93835248881021	98.69	0.26	0	2059309	124941	1
Sg_A13_33	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Caccocola	s__	83.44951210780545	81.4	0	0	1836413	12561	2
Sg_A13_39	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__Spyradenecus	s__	89.88431033633596	91.22	0.71	0	2391671	26830	1
Sg_A13_7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFHK01	s__SFHK01 sp004556395	85.65334321209617	96.77	2.69	0	2907351	46418	2
Sg_A15_10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Alectryocaccomicrobium	s__	99.48988467188437	97.32	0	0	2860288	21866	1
Sg_A15_26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__CAG-349	s__CAG-349 sp003539515	91.56816804804916	92.64	0.7	0	1488426	71835	2
Sg_A15_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Scatomorpha	s__Scatomorpha stercorigallinarum	89.4873125268843	89.39	0.4	25	1916978	9877	1
Sg_A17_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_B	s__Ruminococcus_B gnavus	102.03197499323156	99.42	0	0	2928924	167475	2
Sg_A17_18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA738	s__UBA738 sp003522945	91.11823898316187	88.59	0	0	2262757	113888	2
Sg_A17_2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Aphodousia	s__Aphodousia sp002329575	87.0291375029353	87.29	0.5	66.67	1558051	6480	1
Sg_A17_5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella	s__Edwardsiella tarda	56.12407980819154	61.21	1.72	100	2631365	3874	1
Sg_A18_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Ventricola	s__Ventricola sp900548125	85.75171487165073	86.91	0.81	100	2186171	14569	1
Sg_A19_11	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus infantarius	102.70329478398926	100	0	0	1766654	255029	2
Sg_A19_12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques	101.87845321592371	99.42	0	0	2497604	82586	2
Sg_A19_15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__CALVLD01	s__CALVLD01 sp944336475	92.31281483387464	93.33	0.7	0	1892193	92391	1
Sg_A19_18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp900546075	99.35438979172108	96.92	0	0	2321536	73923	2
Sg_A19_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__Pelethomonas sp944385715	81.01415936581554	91.61	2.65	11.11	2259147	52419	1
Sg_A19_20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Pullichristensenella	s__Pullichristensenella stercoripullorum	47.27535889116839	57.64	2.98	90	1494403	5090	1
Sg_A19_29	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Massilimicrobiota	s__Massilimicrobiota merdigallinarum	94.1210718774087	98.74	1.55	66.67	2383191	15681	1
Sg_A19_3	d__Bacteria	p__Bacillota_B	c__Peptococcia	o__Peptococcales	f__Peptococcaceae	g__UMGS1590	s__UMGS1590 sp900552455	82.00912257596352	80.17	0	0	2122047	4767	2
Sg_A19_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__Pelethousia	s__Pelethousia gallinarum	71.62109281831555	79.04	1.88	14.29	1793624	2660	1
Sg_A19_32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Avichristensenella	s__Avichristensenella intestinipullorum	99.81090888591491	97.55	0	0	2417774	33252	1
Sg_A19_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia faecigallinarum	88.11479771600044	95.9	2.15	40	2111748	16203	1
Sg_A19_34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter stercorigallinarum	96.51831772606256	97.32	0.67	0	2846199	124921	1
Sg_A19_35	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdiplasma	s__Merdiplasma excrementigallinarum	89.65562345823993	93.67	1.27	0	2728715	46908	1
Sg_A19_36	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	102.37478871310263	99.63	0	0	2713458	308729	1
Sg_A19_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdisoma	s__Merdisoma faecalis	99.94131875725272	99.05	0.32	0	3313032	96081	1
Sg_A19_44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus sp905210385	84.2315367056471	91.54	2.01	20	2161871	47761	1
Sg_A19_48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter intestinigallinarum	93.58064199182584	96.78	1.17	0	3421934	200117	1
Sg_A19_5	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__	99.34479017320824	99.88	0.59	0	2716075	67543	2
Sg_A19_51	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster citroniae	101.30491888622242	98.73	0	0	6120409	141201	2
Sg_A19_52	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__	60.803456321590616	60.23	0.24	0	1290298	3523	1
Sg_A19_53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter excrementipullorum	94.57063306248716	95.74	0.71	0	2449138	57712	1
Sg_A19_56	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Thermophilibacter	s__Thermophilibacter excrementavium	57.59997988887287	66.86	2.7	83.33	1263825	9553	1
Sg_A19_6	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Coprousia	s__Coprousia sp002161805	97.35216162268256	98.79	0.81	0	2149840	167619	1
Sg_A19_9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G sp904420085	101.92295231193107	99.33	0	0	2380011	153428	1
Sg_A20_18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Pararoseburia sp900546435	94.51889356359774	94.38	0.45	40	2163239	26169	1
Sg_A20_2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp000437795	100.12959554149036	97.55	0	0	2530345	144275	2
Sg_A20_21	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	s__Phascolarctobacterium_A succinatutens_A	94.02306335955952	97.6	1.2	0	2458655	70166	1
Sg_A20_25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__	70.89598578736816	69.02	0	0	1356905	5649	1
Sg_A20_35	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000434975	100.85476478297392	98.53	0	0	2808428	44620	2
Sg_A20_40	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Mitsuokella	s__Mitsuokella multacida	100.96426361203429	98.83	0.08	0	2284016	117092	1
Sg_A22_14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptacetobacter	s__Peptacetobacter sp900550335	102.30616171914652	99.77	0	0	2429802	118120	1
Sg_A22_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas phoceensis	101.87675777167856	99.37	0	0	2677905	103161	2
Sg_A22_2	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__	s__	87.40361838755508	94.23	1.96	42.86	4291950	18498	1
Sg_A22_22	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila_B	100.60624986984277	97.96	0	0	3075870	196110	1
Sg_A22_3	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900015295	92.53510253479055	96.07	1.12	0	2040537	13496	1
Sg_A22_8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003471165	101.11715627187584	98.73	0	0	4140121	59472	3
Sg_A22_9	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella	s__Granulicatella adiacens_A	54.3124513362646	52.53	0	0	874884	3672	1
Sg_A23_26	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter ciconiae_A	60.80686159416221	70.32	2.38	27.27	1613158	2990	1
Sg_A23_3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Wohlfahrtiimonadaceae	g__Wohlfahrtiimonas	s__	65.68773535056819	73.59	2.12	44.44	1984251	3245	1
Sg_A23_30	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter faecalis	84.238886862646	91.41	1.91	25	2740335	6350	1
Sg_A23_35	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__Vagococcus fluvialis	81.78624208968233	87.8	1.99	100	2132309	7807	1
Sg_A23_39	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus	s__Jeotgalicoccus nanhaiensis	95.71083887907116	97.13	0.77	0	2155871	72724	1
Sg_A23_42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Massilistercora	s__Massilistercora timonensis	101.32055124771195	98.83	0	0	2316073	95742	1
Sg_A23_52	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1417	s__UBA1417 sp900552925	99.52684767696793	98.66	0.34	0	2426807	136049	1
Sg_A23_54	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus paragasseri	101.781820175794	99.22	0.06	0	1883815	529225	2
Sg_A23_66	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus kitasatonis	97.37975347129377	97.52	0.65	100	1864598	83082	1
Sg_A23_9	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus_A	s__Jeotgalicoccus_A schoeneichii	76.69355502005011	81.1	1.32	28.57	1453576	4294	1
Sg_A24_42	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella massiliensis	97.74193645938551	97.47	0.39	0	3496093	27789	2
Sg_A24_50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900548745	59.094550140775596	57.24	0	0	2081054	5118	1
Sg_A24_54	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus_A	102.12471675015695	99.33	0	0	2933097	388538	2
Sg_A25_16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Firm-07	s__Firm-07 sp905187695	65.78948668795988	63.95	0	0	1052794	4775	1
Sg_A25_2	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Parolsenella	s__Parolsenella sp900543875	74.32344734402186	82.66	2.15	25	1533372	5648	1
Sg_A25_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__Limiplasma sp023411375	96.38631299357948	99.19	1.08	0	4033911	155821	1
Sg_A25_27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UMGS416	g__Parachristensenella	s__Parachristensenella sp900542005	94.52208132998743	92.31	0	0	2813075	26556	1
Sg_A25_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp934659475	87.19568327589289	90.19	1.29	100	1733056	21447	1
Sg_A25_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Avispirillum	s__Avispirillum sp900555345	96.27511808291851	97.49	0.67	0	2025922	18631	2
Sg_A25_35	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__Pyramidobacter	s__Pyramidobacter porci	77.58776422345377	78.87	0.85	100	2010875	17200	1
Sg_A25_37	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Sphaerochaetales	f__Sphaerochaetaceae	g__RUG023	s__RUG023 sp905215015	76.60954351131295	80.36	1.15	0	2322457	9979	1
Sg_A25_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp900546415	93.02023209528885	93.96	0.67	0	1904273	66140	2
Sg_A25_46	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Succinivibrionaceae	g__Succinivibrio	s__Succinivibrio sp902776275	87.30581779830106	85.47	0	0	1759151	4695	1
Sg_A25_7	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	81.57626779872616	93.41	3.15	62.5	2290862	7853	1
Sg_A25_9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Eubacterium_T	s__Eubacterium_T pyruvativorans	96.76345326570728	97.81	0.71	0	1919033	101603	1
Sg_A27_23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella stercorea	100.91093151881208	98.52	0	0	2923658	60515	2
Sg_A27_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii	99.07184992258034	100	0.67	0	3333179	69775	2
Sg_A28_11	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	s__Phascolarctobacterium_A sp900552855	91.74453639917346	99.85	2.1	0	2039616	61528	1
Sg_A28_8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	78.41535137385586	78.96	0.62	50	2644968	30953	1
Sg_A33_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__Pelethomonas sp900549475	92.93737767492979	99.16	2.01	75	2546846	43627	2
Sg_A33_10	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__	88.2324610157141	88.77	0.59	50	3302872	17176	1
Sg_A33_11	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus anginosus	102.5722555576176	99.88	0	0	1889641	242388	1
Sg_A33_17	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	88.44660688473336	97.07	2.25	22.22	1991531	17919	1
Sg_A33_2	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus fermentum	100.92689216670964	98.63	0	0	1852438	39245	2
Sg_A33_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp944388165	74.03021844988812	85.66	3.3	87.5	2361847	9235	1
Sg_A33_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp004554585	97.74985571015249	98.32	0.71	66.67	2235759	103038	2
Sg_A33_35	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus ingluviei	100.4281114053593	98.91	0.18	0	1780858	68584	1
Sg_A33_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	102.68658018155358	100	0	0	3449754	236135	2
Sg_A33_8	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces oris	76.15152677178583	95.47	4.54	25	3147952	31121	1
Sg_A33_9	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Enorma	s__Enorma massiliensis	97.799932835164	99.19	0.81	0	2184105	208865	1
Sg_A34_19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	99.86080779115696	97.26	0	0	3510677	159080	2
Sg_A34_34	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Dialisteraceae	g__Dialister	s__Dialister sp900765565	100.76164307304172	98.64	0	0	2628323	17510	1
Sg_A34_37	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella megalosphaeroides	84.38638187928241	86.41	0.81	33.33	2200743	3257	1
Sg_A34_43	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	95.80708703811749	97.58	0.81	0	2110571	35824	1
Sg_A34_5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp000437675	95.94783097052857	95.54	0.37	0	2813557	32784	1
Sg_A37_17	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900764925	74.4236891329725	95.39	5.43	75	2238744	16687	1
Sg_A37_23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp905214725	97.85549526356728	100	0.96	0	2624783	204640	2
Sg_A37_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__	52.64332559858114	58.62	1.72	0	3450056	176462	1
Sg_A37_36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E sp003438075	99.50209145571024	98.66	0.34	0	2156428	121390	2
Sg_B01_37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter sp905193765	91.04448698415442	91.49	0.71	100	2663393	61514	1
Sg_B01_42	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Slackia_A	s__Slackia_A isoflavoniconvertens	93.26824043237352	93.85	0.57	33.33	2058134	14339	1
Sg_B01_6	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia sp902373545	94.03250361875477	98.39	1.55	80	2507113	20184	1
Sg_B02_34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus sp900548315	94.16909322596113	95.97	0.81	0	2649910	31491	1
Sg_B02_41	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Parasutterella	s__Parasutterella excrementihominis	51.07235294910638	56.92	1.5	0	1545675	2017	1
Sg_B03_18	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Coprobacillus	s__Coprobacillus cateniformis	102.45555215890201	100	0	0	3321078	81490	2
Sg_B03_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp000765235	101.11957567034479	98.66	0	0	2161163	83014	2
Sg_B03_3	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus johnsonii	92.65448449228322	96.24	1.41	83.33	1881133	37937	1
Sg_B03_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000433635	100.49131409948326	97.99	0	0	2233119	100607	2
Sg_B04_13	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Senegalimassilia	s__Senegalimassilia anaerobia	101.493979363532	99.19	0	0	2070765	40547	2
Sg_B04_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900541345	101.31757437808096	98.92	0.02	100	2718922	90188	1
Sg_B04_2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	98.40475214554485	98.95	0.63	0	3000704	161996	2
Sg_B07_12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp900544195	96.02460792823858	96.11	0.48	0	3223251	42581	1
Sg_B07_16	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-762	s__CAG-762 sp000432575	86.06706299137136	89.33	1.12	0	1201651	47220	1
Sg_B07_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella hathewayi	97.63045122070757	99.37	0.95	66.67	6626718	56777	2
Sg_B07_39	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ sp000165065	91.72774699359915	91.86	0.47	0	3808996	27258	1
