"Genome"	"rRNA_5S"	"rRNA_16S"	"rRNA_23S"	"tRNA"	"pass_GUNC"	"Completeness"	"Contamination"	"Heterogeneity"	"Contigs"	"N50"	"GC_content"	"Size"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Score"
"Gp_NX2_282"	1	0	0	14	"True"	86.41	2.24	25	147	20617	59.6	1993799	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__CAG-170"	"s__CAG-170 sp000436735"	75.21
"Gp_NX2_283"	1	0	0	13	"True"	87.5	2.57	83.33	439	4863	61.8	1836528	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Scatomorpha"	"s__Scatomorpha merdavium"	74.65
"Gp_NX2_284"	0	0	0	14	"True"	56.61	2.41	60	479	2993	60.7	1361195	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__UBA738"	"s__UBA738 sp003522945"	44.56
"Gp_NX2_285"	1	0	0	20	"True"	86.12	1.85	100	384	6912	51.9	2057795	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Clostridium_A"	"s__Clostridium_A leptum"	76.87
"Gp_NX2_286"	0	0	0	14	"True"	91.16	5.56	58.33	422	6813	37.4	2324424	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerostipes"	"s__Anaerostipes hadrus"	63.36
"Gp_NX2_287"	1	0	0	17	"True"	84.86	2.65	54.55	200	10570	56	1542793	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes putredinis"	71.61
"Gp_NX2_288"	2	0	0	21	"True"	95.96	0.56	33.33	136	34949	54.8	2575715	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Thiopseudomonas"	"s__"	93.16
"Gp_NX2_289"	0	0	0	9	"True"	60.1	0.43	66.67	253	10401	54	1865679	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__Christensenellaceae"	"g__Christensenella"	"s__Christensenella minuta"	57.95
"Gp_NX2_29"	1	0	0	17	"True"	86.35	5	33.33	167	23340	62.5	2732614	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Flavonifractor"	"s__Flavonifractor merdavium"	61.35
"Gp_NX2_290"	3	0	0	13	"True"	91.39	4.18	77.78	400	5840	58	1928718	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Slackia_A"	"s__Slackia_A isoflavoniconvertens"	70.49
"Gp_NX2_291"	0	0	0	14	"True"	81.92	3.48	87.5	392	6239	61.7	1975729	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__JAFBIO01"	"s__JAFBIO01 sp021531255"	64.52
"Gp_NX2_292"	1	1	0	16	"True"	73.49	2.26	42.86	96	15507	29.9	1185716	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-245"	"s__CAG-245 sp000434195"	62.19
"Gp_NX2_293"	0	0	0	22	"True"	95.7	0	0	97	26868	51.7	1744577	"d__Bacteria"	"p__Pseudomonadota"	"c__Alphaproteobacteria"	"o__RF32"	"f__CAG-239"	"g__51-20"	"s__51-20 sp001917175"	95.7
"Gp_NX2_294"	0	1	0	6	"True"	55.62	0.67	100	227	4564	47.4	882464	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__CAG-272"	"g__QALR01"	"s__QALR01 sp900542425"	52.27
"Gp_NX2_295"	3	0	0	7	"True"	67.72	1.73	75	286	7112	57.5	1563344	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Acutalibacter"	"s__Acutalibacter sp019416455"	59.07
"Gp_NX2_296"	6	0	0	15	"True"	96.02	0.24	100	133	20034	50.9	1766044	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus delbrueckii_B"	94.82
"Gp_NX2_297"	2	0	0	20	"True"	87.03	2.74	62.5	200	11942	42.1	1592835	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__URXU01"	"s__URXU01 sp900541915"	73.33
"Gp_NX2_298"	0	1	0	18	"True"	93.62	0	0	43	75815	42.5	2485548	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp900549015"	93.62
"Gp_NX2_299"	0	0	0	13	"True"	75	2.59	50	264	8982	57.5	1784889	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Phocea"	"s__Phocea massiliensis"	62.05
"Gp_NX2_3"	0	0	0	14	"True"	82.17	2.34	33.33	357	6904	43.6	2009548	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lachnoclostridium_B"	"s__Lachnoclostridium_B sp900066555"	70.47
"Gp_NX2_30"	0	0	0	14	"True"	74.38	0.37	100	83	43587	58	2648415	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella massiliensis"	72.53
"Gp_NX2_300"	0	0	0	20	"True"	98.02	4.7	33.33	331	28986	50.7	5460646	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Enterocloster"	"s__Enterocloster aldenensis"	74.52
"Gp_NX2_301"	0	0	0	22	"False"	98	2.46	100	407	7070	31.7	1872559	"d__Archaea"	"p__Methanobacteriota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter_A"	"s__Methanobrevibacter_A smithii"	85.7
"Gp_NX2_302"	3	0	0	22	"True"	84.91	0.13	0	173	20452	48.5	2447546	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Sodaliphilus"	"s__Sodaliphilus sp004557565"	84.26
"Gp_NX2_303"	0	0	0	14	"True"	64.91	0.88	0	160	15867	49	1619311	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium"	"s__Phascolarctobacterium sp900545535"	60.51
"Gp_NX2_304"	1	0	0	15	"True"	94.02	4.66	63.64	192	15293	62.2	2318556	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Lawsonibacter"	"s__Lawsonibacter asaccharolyticus"	70.72
"Gp_NX2_305"	4	0	0	18	"True"	96.98	1.79	80	256	11813	46.5	1996172	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_C"	"s__Ruminococcus_C sp000433635"	88.03
"Gp_NX2_306"	0	0	0	12	"True"	68.92	4.21	100	315	4145	55	1152123	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Megasphaeraceae"	"g__Megasphaera"	"s__Megasphaera stantonii"	47.87
"Gp_NX2_307"	0	1	0	18	"False"	93.64	4.14	75	279	13653	60.7	2350305	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__Gemmiger formicilis"	72.94
"Gp_NX2_308"	1	0	0	13	"True"	58.62	0	0	115	22931	49.1	1957736	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Alloprevotella"	"s__Alloprevotella sp000437675"	58.62
"Gp_NX2_309"	2	0	0	15	"False"	66.72	0	0	235	7384	58.5	1410927	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__ER4"	"s__ER4 sp003522105"	66.72
"Gp_NX2_31"	0	0	0	14	"True"	71.64	4.24	90	1097	4042	57.3	4053656	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Enterocloster"	"s__Enterocloster lavalensis"	50.44
"Gp_NX2_310"	0	0	0	13	"True"	83.77	1.92	80	311	7271	60.1	1772639	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp900548615"	74.17
"Gp_NX2_311"	1	0	0	15	"True"	73.53	3.43	62.5	432	5939	61.8	2160223	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__CALXDZ01"	"s__"	56.38
"Gp_NX2_312"	1	1	0	18	"True"	94.41	0.67	0	54	55513	47.2	1964992	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__UBA644"	"g__UBA644"	"s__UBA644 sp900547165"	91.06
"Gp_NX2_313"	2	0	0	17	"True"	78.75	3.64	100	223	18438	59.9	1941915	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Feifaniaceae"	"g__CAJFTX01"	"s__CAJFTX01 sp904420075"	60.55
"Gp_NX2_314"	1	0	0	18	"True"	94.17	1.35	66.67	284	9373	58.8	2011683	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Faecousia"	"s__Faecousia sp900544405"	87.42
"Gp_NX2_315"	1	0	0	18	"True"	66.26	3.61	100	365	3097	64.9	1051223	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Adlercreutzia"	"s__Adlercreutzia equolifaciens"	48.21
"Gp_NX2_316"	0	0	0	20	"True"	93.82	2.29	62.5	353	7049	65.3	1901158	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__CAAEEV01"	"s__CAAEEV01 sp900754955"	82.37
"Gp_NX2_317"	3	0	0	23	"True"	98.66	4.03	28.57	161	32411	64.1	2970810	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerotruncus"	"s__Anaerotruncus massiliensis"	78.51
"Gp_NX2_318"	0	0	0	11	"True"	84.97	4.84	66.67	467	6713	57.3	2541547	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-74"	"g__Fimadaptatus"	"s__Fimadaptatus sp900553645"	60.77
"Gp_NX2_319"	1	0	0	18	"True"	91.01	1.9	100	234	19330	53.9	1894336	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__CAG-177"	"s__CAG-177 sp000431775"	81.51
"Gp_NX2_32"	0	0	0	17	"True"	86.58	4.31	66.67	297	7286	38.7	1691823	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__UBA1381"	"f__UBA1381"	"g__CAG-41"	"s__CAG-41 sp900066215"	65.03
"Gp_NX2_320"	0	0	0	13	"True"	57.71	2.01	66.67	315	3600	39.6	1069233	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Ruminococcus_E"	"s__Ruminococcus_E sp003438075"	47.66
"Gp_NX2_321"	1	0	0	8	"True"	53.79	0.86	100	374	3087	61.3	1087503	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Acutalibacter"	"s__Acutalibacter stercoravium"	49.49
"Gp_NX2_322"	4	0	0	20	"True"	93.05	0.6	0	34	70202	49	1554149	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__CAG-266"	"s__CAG-266 sp944390935"	90.05
"Gp_NX2_323"	5	0	0	20	"False"	95.06	4.76	35.71	497	7224	45	2311900	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium"	"s__Phascolarctobacterium faecium"	71.26
"Gp_NX2_324"	0	0	0	9	"True"	85.63	2.29	50	292	13569	59.7	2739099	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__CAKTXU01"	"s__CAKTXU01 sp934630995"	74.18
"Gp_NX2_325"	0	0	0	7	"False"	53.49	3.51	50	211	9762	41.2	1490289	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Coprococcus"	"s__Coprococcus sp900066115"	35.94
"Gp_NX2_326"	0	0	0	9	"True"	82.08	0	0	313	5896	47.7	1544230	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__JAAYXM01"	"g__RGIG7332"	"s__"	82.08
"Gp_NX2_327"	3	0	0	19	"True"	88.65	2.06	70	263	14915	42.4	2953288	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola massiliensis"	78.35
"Gp_NX2_328"	0	0	0	12	"True"	52.61	3.45	50	330	7183	61.3	1928321	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Instestinimonas_A"	"s__Instestinimonas_A gabonensis"	35.36
"Gp_NX2_329"	2	0	0	20	"True"	93.11	7.93	60.71	400	15059	60.5	3048517	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Mailhella"	"s__Mailhella massiliensis"	53.46
"Gp_NX2_33"	0	0	0	14	"True"	70.44	1.34	75	455	4875	64.4	1859831	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Flavonifractor"	"s__Flavonifractor plautii"	63.74
"Gp_NX2_330"	0	0	0	19	"True"	94.08	2.18	70	155	18740	53.5	1716278	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Oxalobacter"	"s__Oxalobacter sp934277985"	83.18
"Gp_NX2_331"	0	0	0	14	"True"	85.34	1.12	66.67	364	7397	58.1	2115796	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes merdipullorum"	79.74
"Gp_NX2_332"	0	0	0	14	"True"	51.44	5.41	31.82	662	2591	70.2	1678418	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces oris"	24.39
"Gp_NX2_333"	2	0	0	18	"True"	96.67	0	0	84	61345	42.4	3594082	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Odoribacter"	"s__Odoribacter massiliensis"	96.67
"Gp_NX2_334"	0	0	0	8	"True"	78.46	9.41	85.45	322	6135	40.5	1617990	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus salivarius"	31.41
"Gp_NX2_335"	1	0	0	19	"True"	83.8	2.36	20	454	7127	70.1	2429828	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__Actinomyces sp000220835"	72
"Gp_NX2_336"	0	0	0	19	"True"	78.66	3.23	40	480	6391	64.9	2376294	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__Eggerthella lenta"	62.51
"Gp_NX2_337"	3	0	0	15	"True"	84.05	1.51	75	545	4154	38.8	1682843	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Ruminococcus_E"	"s__Ruminococcus_E sp003526955"	76.5
"Gp_NX2_338"	3	1	0	22	"True"	88.14	0	0	231	12980	60.8	2067787	"d__Bacteria"	"p__Synergistota"	"c__Synergistia"	"o__Synergistales"	"f__Dethiosulfovibrionaceae"	"g__Pyramidobacter"	"s__Pyramidobacter piscolens"	88.14
"Gp_NX2_339"	0	0	0	15	"True"	65.42	3.24	100	295	3917	48	1070021	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Anaerotignaceae"	"g__Anaerotignum"	"s__Anaerotignum faecicola"	49.22
"Gp_NX2_34"	4	0	0	20	"True"	88.39	4.03	60	103	25022	60.2	1634531	"d__Archaea"	"p__Thermoplasmatota"	"c__Thermoplasmata"	"o__Methanomassiliicoccales"	"f__Methanomethylophilaceae"	"g__UBA71"	"s__UBA71 sp905187815"	68.24
"Gp_NX2_340"	2	0	0	15	"True"	81.33	4.67	75	190	8103	26.1	1123409	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-302"	"s__CAG-302 sp934162325"	57.98
"Gp_NX2_341"	4	0	0	21	"True"	95.91	0.97	66.67	249	27764	62.3	4537741	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales_A"	"f__Aeromonadaceae"	"g__Aeromonas"	"s__Aeromonas dhakensis"	91.06
"Gp_NX2_342"	1	0	0	17	"True"	93.08	2.35	75	244	10924	52.6	1926065	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Negativibacillus"	"s__Negativibacillus sp000435195"	81.33
"Gp_NX2_343"	1	0	0	19	"True"	96.56	2.2	14.29	214	19181	56.5	2733643	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerotruncus"	"s__Anaerotruncus rubiinfantis"	85.56
"Gp_NX2_344"	0	0	0	14	"True"	81.66	4.69	58.33	495	6338	43.6	2573163	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A faecis"	58.21
"Gp_NX2_345"	0	0	0	13	"True"	64.11	0.66	100	214	7828	57	1250107	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Duodenibacillus"	"s__Duodenibacillus intestinigallinarum"	60.81
"Gp_NX2_346"	0	0	0	15	"True"	92.55	4.36	33.33	237	12928	61.7	2248661	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__CAG-170"	"s__CAG-170 sp002404795"	70.75
"Gp_NX2_347"	0	0	0	14	"True"	62.76	1.89	75	558	3420	59.4	1748944	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-74"	"g__Limiplasma"	"s__Limiplasma sp900548145"	53.31
"Gp_NX2_348"	2	0	0	22	"True"	99.49	0.88	0	36	157243	68.6	3924592	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Microbacterium"	"s__Microbacterium sp004794515"	95.09
"Gp_NX2_349"	0	0	0	8	"True"	65.36	2.66	71.43	494	3661	60.5	1676518	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes onderdonkii"	52.06
"Gp_NX2_35"	0	0	0	13	"False"	93.66	3.6	71.43	314	10944	37.8	2617386	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum soehngenii"	75.66
"Gp_NX2_350"	0	0	0	19	"True"	91.68	4.78	76	331	7944	44.8	2128789	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_C"	"g__Oligella"	"s__Oligella ureolytica"	67.78
"Gp_NX2_351"	1	0	0	24	"True"	98.04	0.81	100	104	47443	61.7	2702724	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Paraeggerthella"	"s__Paraeggerthella hongkongensis_A"	93.99
"Gp_NX2_352"	2	0	0	22	"True"	96.59	1.34	16.67	194	34610	59.9	3309964	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_B"	"g__Comamonas"	"s__Comamonas kerstersii"	89.89
"Gp_NX2_353"	1	0	0	12	"True"	89.87	3.88	9.09	208	12547	62.8	1908118	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp900552475"	70.47
"Gp_NX2_354"	4	0	0	20	"True"	88.74	0	0	53	68588	64.6	2335994	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Akkermansiaceae"	"g__Akkermansia"	"s__Akkermansia intestinavium"	88.74
"Gp_NX2_355"	1	0	0	10	"True"	59.47	1.25	0	242	5072	55.7	1054616	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Duodenibacillus"	"s__Duodenibacillus intestinavium"	53.22
"Gp_NX2_356"	1	0	0	19	"True"	96.15	4.03	23.08	26	123905	61.2	2679727	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes avistercoris"	76
"Gp_NX2_357"	0	0	0	10	"True"	66.67	3.45	0	284	4784	51	1128204	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UMGS1484"	"s__UMGS1484 sp900552285"	49.42
"Gp_NX2_358"	0	0	0	9	"True"	96.86	2.32	100	152	18711	32.5	1716656	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__Ligilactobacillus salivarius"	85.26
"Gp_NX2_359"	0	0	0	15	"True"	58.39	1.89	85.71	366	5458	44.8	1704992	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"	"g__Barnesiella"	"s__Barnesiella intestinihominis"	48.94
"Gp_NX2_36"	1	0	0	19	"True"	91.96	2.61	83.33	226	13252	59.1	2049491	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium dentium"	78.91
"Gp_NX2_360"	0	0	0	23	"False"	98.66	0.5	50	330	43765	42.7	4019135	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__HGM13222"	"s__HGM13222 sp900757485"	96.16
"Gp_NX2_361"	0	0	0	19	"True"	89.08	1.92	28.57	484	6083	72.4	2336683	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Propionibacteriales"	"f__Propionibacteriaceae"	"g__Propionibacterium"	"s__Propionibacterium acidifaciens"	79.48
"Gp_NX2_362"	2	0	0	21	"True"	98.89	1.43	64.29	262	18387	42.6	2844641	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Psychrobacter"	"s__Psychrobacter pasteurii"	91.74
"Gp_NX2_363"	0	0	0	22	"False"	95.85	1.62	0	289	11100	36.5	2213625	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales_A"	"f__Succinivibrionaceae"	"g__Succinivibrio"	"s__Succinivibrio sp000431835"	87.75
"Gp_NX2_364"	0	0	0	15	"True"	86.22	3.16	60	441	6494	63.6	2312693	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Desulfovibrio"	"s__Desulfovibrio porci"	70.42
"Gp_NX2_365"	6	0	0	19	"True"	96.7	0.94	0	192	17618	33.7	2196564	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Coprobacillaceae"	"g__Catenibacterium"	"s__Catenibacterium sp000437715"	92
"Gp_NX2_366"	1	0	0	19	"True"	87.33	4.92	70	359	7248	61.5	2096194	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Scatomorpha"	"s__Scatomorpha sp900546485"	62.73
"Gp_NX2_367"	1	0	0	18	"True"	72.75	9.58	90	392	8208	60.8	2475063	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Fournierella"	"s__Fournierella sp002160145"	24.85
"Gp_NX2_368"	2	0	0	17	"False"	96.38	9.35	83.33	856	3664	52.6	2530539	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Dialisteraceae"	"g__Dialister"	"s__Dialister sp900538805"	49.63
"Gp_NX2_369"	0	0	0	19	"True"	98.11	0	0	75	63212	37.5	2815633	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Longicatena"	"s__Longicatena caecimuris"	98.11
"Gp_NX2_37"	0	0	0	19	"True"	94.95	2.76	75	430	6804	59	2224911	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes_A"	"s__Alistipes_A ihumii"	81.15
"Gp_NX2_370"	2	0	1	21	"True"	87.38	6.36	83.33	1010	4378	60.9	3433772	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Bilophila"	"s__Bilophila wadsworthia"	55.58
"Gp_NX2_371"	0	0	1	11	"True"	87.77	0.83	50	112	26349	53.4	1992229	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__Borkfalkiaceae"	"g__Borkfalkia"	"s__Borkfalkia ceftriaxoniphila"	83.62
